n	water volume V	water input Qd1	water input Qd2	water output Qo	concentration c	concentration cd1	concentration cd2
0	10	0,08333333333333333	0,05	0,08333333333333333	0,1	0,5	0,2
1	10,066666666666666	0,16666666666666666	0,05	0,08333333333333333	0,10191666666666667	0,5	0,2
2	9,926666666666668	0,16666666666666666	0,05	0,08333333333333333	0,10545564293598235	0,5	0,2
3	10,035	0,16666666666666666	0,05	0,08333333333333333	0,10900590875350437	0,5	0,2
4	9,976833333333333	0,16666666666666666	0,05	0,08333333333333333	0,11247952043445807	0,5	0,2
5	10,022316666666667	0,16666666666666666	0,05	0,08333333333333333	0,11593566569961572	0,5	0,2
6	9,978901666666667	0,16666666666666666	0,05	0,08333333333333333	0,11933876806442575	0,5	0,2
7	10,018829833333331	0,16666666666666666	0,05	0,08333333333333333	0,12271973134609157	0,5	0,2
8	9,983385016666668	0,16666666666666666	0,05	0,08333333333333333	0,12605066216928434	0,5	0,2
9	10,014737365	0,16666666666666666	0,05	0,08333333333333333	0,12935727392570603	0,5	0,2
10	9,986890410166666	0,16666666666666666	0,05	0,08333333333333333	0,13261776502011047	0,5	0,2
11	10,01166083765	0,16666666666666666	0,05	0,08333333333333333	0,13585197915446606	0,5	0,2
12	9,989632219035	0,16666666666666666	0,05	0,08333333333333333	0,1390431948221786	0,5	0,2
13	10,009217266749834	0,16666666666666666	0,05	0,08333333333333333	0,14220684020984803	0,5	0,2
14	9,991805257099681	0,16666666666666666	0,05	0,08333333333333333	0,14533005402475646	0,5	0,2
15	10,0072858152619	0,16666666666666666	0,05	0,08333333333333333	0,1484248478768163	0,5	0,2
16	9,993522299407022	0,16666666666666666	0,05	0,08333333333333333	0,15148135177920613	0,5	0,2
17	10,005759200363737	0,16666666666666666	0,05	0,08333333333333333	0,15450893164385318	0,5	0,2
18	9,994879608251592	0,16666666666666666	0,05	0,08333333333333333	0,15750002891819373	0,5	0,2
19	10,004552440873425	0,16666666666666666	0,05	0,08333333333333333	0,16046196189729853	0,5	0,2
20	9,99595251252738	0,16666666666666666	0,05	0,08333333333333333	0,1633889581456754	0,5	0,2
21	10,003598543132696	0,16666666666666666	0,05	0,08333333333333333	0,16628675064364729	0,5	0,2
22	9,996800604708477	0,16666666666666666	0,05	0,08333333333333333	0,16915094681832693	0,5	0,2
23	10,002844520628129	0,16666666666666666	0,05	0,08333333333333333	0,17198605195666478	0,5	0,2
24	9,997470991583246	0,16666666666666666	0,05	0,08333333333333333	0,17478873916364346	0,5	0,2
25	10,002248492599144	0,16666666666666666	0,05	0,08333333333333333	0,17756256265833378	0,5	0,2
